ParticipantID,TargetLoad,Game,Lab
1,Single,100.0,100.0
2,Single,93.75,100.0
3,Single,93.75,100.0
4,Single,93.75,100.0
5,Single,78.94736842105263,100.0
6,Single,82.05128205128206,100.0
7,Single,100.0,100.0
8,Single,83.33333333333333,100.0
9,Single,100.0,100.0
10,Single,100.0,100.0
11,Single,100.0,100.0
12,Single,100.0,100.0
13,Single,100.0,100.0
14,Single,100.0,100.0
15,Single,93.75,100.0
16,Single,100.0,100.0
17,Single,100.0,100.0
18,Single,93.75,100.0
19,Single,100.0,100.0
20,Single,100.0,100.0
21,Single,100.0,100.0
22,Multiple,98.616,100.0
23,Multiple,98.21416666666666,96.0
24,Multiple,88.21416666666666,100.0
25,Multiple,100.0,100.0
26,Multiple,98.05181818181818,100.0
27,Multiple,98.70181818181818,97.33333333333333
28,Multiple,98.80916666666667,98.66666666666667
29,Multiple,98.05181818181818,92.0
30,Multiple,97.48285714285714,98.66666666666667
31,Multiple,98.70181818181818,100.0
32,Multiple,98.11500000000001,45.333333333333336
33,Multiple,97.2523076923077,94.66666666666667
34,Multiple,100.0,98.66666666666667
35,Multiple,98.05181818181818,100.0
36,Multiple,100.0,101.33333333333333
37,Multiple,100.0,102.66666666666667
